epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2867,1.99793,3.95875,1.88388,0.71839,0.09916,0.06271,0.02451,2.09909,3.36808,1.85924,0.00330357,0.00330357,0.00330357
2,27.341,1.78482,3.17852,1.64414,0.44453,0.21816,0.15194,0.07416,2.10549,3.14034,1.96985,0.00662048,0.00662048,0.00662048
3,40.3543,1.80929,2.79865,1.64625,0.26966,0.18915,0.07274,0.0337,2.66971,3.82804,2.67164,0.00992089,0.00992089,0.00992089
4,53.1779,1.82545,2.65425,1.67446,0.43333,0.22695,0.23882,0.11093,2.21956,3.39171,2.24499,0.00992575,0.00992575,0.00992575
5,65.7965,1.78049,2.42737,1.6441,0.21536,0.37486,0.18717,0.08939,2.38737,4.21057,2.3514,0.009901,0.009901,0.009901
6,78.3447,1.71528,2.29359,1.61602,0.50128,0.45646,0.40645,0.20982,1.83816,2.3015,1.76787,0.00987625,0.00987625,0.00987625
7,90.8075,1.683,2.19098,1.59104,0.49464,0.34671,0.31241,0.16535,2.15011,2.67422,2.09197,0.0098515,0.0098515,0.0098515
8,103.376,1.62849,2.06576,1.55088,0.32117,0.16837,0.15373,0.05478,2.52197,3.10452,2.56293,0.00982675,0.00982675,0.00982675
9,116.057,1.61825,1.99695,1.53713,0.54555,0.53124,0.54185,0.30796,1.72475,1.97081,1.68891,0.009802,0.009802,0.009802
10,128.845,1.5966,1.94225,1.53391,0.58118,0.5243,0.53797,0.28846,1.73665,2.29761,1.68297,0.00977725,0.00977725,0.00977725
11,141.892,1.56135,1.87097,1.5105,0.59372,0.38979,0.44553,0.23696,2.01953,2.27325,1.92937,0.0097525,0.0097525,0.0097525
12,154.817,1.52994,1.80496,1.48942,0.5014,0.56335,0.55557,0.30228,1.68478,2.02989,1.71706,0.00972775,0.00972775,0.00972775
13,167.78,1.49943,1.76603,1.46324,0.72034,0.53118,0.60756,0.35913,1.67268,1.78094,1.59946,0.009703,0.009703,0.009703
14,180.808,1.49936,1.6975,1.44774,0.59591,0.51652,0.55299,0.31593,1.72246,1.90437,1.69216,0.00967825,0.00967825,0.00967825
15,193.593,1.4941,1.69165,1.43903,0.70737,0.61277,0.67462,0.38963,1.59229,1.63193,1.57801,0.0096535,0.0096535,0.0096535
16,206.633,1.47914,1.67516,1.44214,0.5972,0.56122,0.57807,0.33717,1.67721,1.77635,1.67357,0.00962875,0.00962875,0.00962875
17,219.503,1.47319,1.64618,1.44045,0.56915,0.63426,0.67048,0.38632,1.53667,1.62479,1.51211,0.009604,0.009604,0.009604
18,232.604,1.45759,1.61662,1.43204,0.40167,0.27553,0.29449,0.1342,2.19858,3.3766,2.22339,0.00957925,0.00957925,0.00957925
19,245.761,1.43852,1.57494,1.41214,0.70736,0.7074,0.74476,0.43984,1.44469,1.41832,1.40825,0.0095545,0.0095545,0.0095545
20,258.837,1.42001,1.5455,1.40374,0.78648,0.67834,0.74032,0.41956,1.58906,1.41081,1.50685,0.00952975,0.00952975,0.00952975
21,272.344,1.41329,1.51089,1.3911,0.75414,0.74516,0.78866,0.47524,1.45484,1.36385,1.41044,0.009505,0.009505,0.009505
22,285.358,1.40075,1.49399,1.38133,0.78156,0.69583,0.78387,0.46401,1.43076,1.31156,1.4259,0.00948025,0.00948025,0.00948025
23,298.568,1.41866,1.48718,1.39209,0.69463,0.69804,0.73112,0.43316,1.57717,1.47173,1.54611,0.0094555,0.0094555,0.0094555
24,311.619,1.39838,1.45014,1.37226,0.48474,0.54029,0.50263,0.26774,1.86549,2.31166,1.82799,0.00943075,0.00943075,0.00943075
25,324.569,1.37696,1.43213,1.36322,0.81008,0.66932,0.77869,0.48638,1.41798,1.30268,1.39212,0.009406,0.009406,0.009406
26,337.577,1.3649,1.41117,1.36137,0.77208,0.77952,0.82459,0.49947,1.37828,1.25997,1.36967,0.00938125,0.00938125,0.00938125
27,350.475,1.37573,1.41811,1.37468,0.70505,0.64703,0.72158,0.44126,1.4591,1.33178,1.46663,0.0093565,0.0093565,0.0093565
