epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7401,1.98079,3.90729,1.89078,0.91537,0.02587,0.09709,0.03752,1.9453,3.61913,1.87904,0.00330357,0.00330357,0.00330357
2,34.1217,1.78298,3.2178,1.6479,0.36433,0.22256,0.12886,0.04788,2.10331,3.03985,1.88011,0.0066223,0.0066223,0.0066223
3,47.4645,1.81578,2.7931,1.6528,0.10818,0.10175,0.04741,0.01933,2.61721,3.51469,2.45233,0.00992637,0.00992637,0.00992637
4,60.7707,1.80444,2.60775,1.67852,0.30969,0.38715,0.31025,0.15116,2.03324,3.06528,1.93593,0.009934,0.009934,0.009934
5,75.3662,1.79148,2.43643,1.64163,0.12771,0.1753,0.0458,0.01473,3.12663,4.36678,3.07619,0.009912,0.009912,0.009912
6,92.8578,1.73435,2.314,1.61716,0.38329,0.31079,0.28317,0.12866,2.21222,2.47851,2.16973,0.00989,0.00989,0.00989
7,105.885,1.7006,2.19326,1.60056,0.33623,0.50181,0.38956,0.1965,1.89575,2.62059,1.86814,0.009868,0.009868,0.009868
8,118.895,1.63265,2.04641,1.53818,0.50036,0.38745,0.37934,0.19713,1.92222,2.29262,1.79419,0.009846,0.009846,0.009846
9,134.713,1.62627,2.00848,1.53768,0.00348,0.03778,0.01637,0.00674,3.45195,4.45781,3.26285,0.009824,0.009824,0.009824
10,149.137,1.59513,1.93598,1.51715,0.64777,0.57424,0.59098,0.33573,1.74826,1.81639,1.68844,0.009802,0.009802,0.009802
11,163.742,1.57881,1.87115,1.50493,0.55597,0.45676,0.49107,0.25294,1.73804,1.99986,1.66399,0.00978,0.00978,0.00978
12,177.98,1.54782,1.80511,1.48095,0.60323,0.55829,0.60374,0.35017,1.61922,1.69822,1.61374,0.009758,0.009758,0.009758
13,192,1.5313,1.77628,1.47346,0.60752,0.64379,0.59663,0.33915,1.67981,1.96614,1.62369,0.009736,0.009736,0.009736
14,208.074,1.53069,1.73264,1.4655,0.74114,0.6066,0.69363,0.40164,1.58375,1.62567,1.51221,0.009714,0.009714,0.009714
15,222.99,1.50173,1.69821,1.45955,0.59518,0.45665,0.48343,0.27877,1.80669,2.26875,1.78896,0.009692,0.009692,0.009692
16,236.577,1.47398,1.63365,1.43595,0.66879,0.68565,0.73274,0.41635,1.54084,1.53255,1.50433,0.00967,0.00967,0.00967
